,Overview about The Data,,,,,,,,,,,,,,,,,Product Analysis,,,,,,,,,,,,,,,,,,,,Sales Analysis,,,,,,,,,,,,,,,,,,,,,,,,Time Analysis,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufactured Year,Sum of Sold Price-$,,,,,,
,Manufacturer Name,Sum of Sold Price-$,,,,,,,,,,,,,,,,Car Type,Sum of Sold Price-$,,,,,,,,,,,,,,,,,,Sales Agent Name,Sum of Sold Price-$,,,,,,,,,,,,,,,,,,,,,,,,2023,1326603,,,,,,
,Maruti,2958478,,,,,,,,,,,,,,,,SUV,4943839,,,,,,,,,,,,,,,,,,Pavan,673924,,,,,,,,,,,,,,,,,,,,,,,,2021,1413186,,,,,,
,Toyota,2519354,,,,,,,,,,,,,,,,Hatchback,4091571,,,,,,,,,,,,,,,,,,Vishwajeet,661578,,,,,,,,,,,,,,,,,,,,,,,,2020,1429384,,,,,,
,Mahindra,2243879,,,,,,,,,,,,,,,,Truck,2507322,,,,,,,,,,,,,,,,,,Supriya,625341,,,,,,,,,,,,,,,,,,,,,,,,2015,1453476,,,,,,
,Hyundai,2157121,,,,,,,,,,,,,,,,Sedan,1933775,,,,,,,,,,,,,,,,,,Karan,623876,,,,,,,,,,,,,,,,,,,,,,,,2018,1479486,,,,,,
,Prazo,1401254,,,,,,,,,,,,,,,,Convertible,1401254,,,,,,,,,,,,,,,,,,Preeti,621231,,,,,,,,,,,,,,,,,,,,,,,,2017,1520365,,,,,,
,Renault,1347132,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,,,,,,,,,,,,,Krishna,618697,,,,,,,,,,,,,,,,,,,,,,,,2019,1522274,,,,,,
,Tata,1340796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shiva,600170,,,,,,,,,,,,,,,,,,,,,,,,2016,1538545,,,,,,
,Kia,909747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hariom,598263,,,,,,,,,,,,,,,,,,,,,,,,2022,1538847,,,,,,
,Grand Total,14877761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rithvik,593843,,,,,,,,,,,,,,,,,,,,,,,,2024,1655595,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhruv,572704,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,14877761,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narayan,572428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
